Query,Interest,Year,ID,Title,Link,Journal,Authors,DOI
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32579974,Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma.,https://pubmed.ncbi.nlm.nih.gov/32579974/,Cell,Ji AL; Rubin AJ; Thrane K; Jiang S; Reynolds DL,10.1016/j.cell.2020.05.039
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2022,35290801,Spatial CRISPR genomics identifies regulators of the tumor microenvironment.,https://pubmed.ncbi.nlm.nih.gov/35290801/,Cell,Dhainaut M; Rose SA; Akturk G; Wroblewska A; Nielsen SR,10.1016/j.cell.2022.02.015
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,31919360,Genome-wide CRISPR screen identifies host dependency factors for influenza A virus infection.,https://pubmed.ncbi.nlm.nih.gov/31919360/,Nat Commun,Li B; Clohisey SM; Chia BS; Wang B; Cui A,10.1038/s41467-019-13965-x
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33147444,Genome-wide CRISPR Screens Reveal Host Factors Critical for SARS-CoV-2 Infection.,https://pubmed.ncbi.nlm.nih.gov/33147444/,Cell,Wei J; Alfajaro MM; DeWeirdt PC; Hanna RE; Lu-Culligan WJ,10.1016/j.cell.2020.10.028
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,39530225,The evolution of dbSNP: 25 years of impact in genomic research.,https://pubmed.ncbi.nlm.nih.gov/39530225/,Nucleic Acids Res,Phan L; Zhang H; Wang Q; Villamarin R; Hefferon T,10.1093/nar/gkae977
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33147445,Identification of Required Host Factors for SARS-CoV-2 Infection in Human Cells.,https://pubmed.ncbi.nlm.nih.gov/33147445/,Cell,Daniloski Z; Jordan TX; Wessels HH; Hoagland DA; Kasela S,10.1016/j.cell.2020.10.030
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37141313,Discovery of target genes and pathways at GWAS loci by pooled single-cell CRISPR screens.,https://pubmed.ncbi.nlm.nih.gov/37141313/,Science,Morris JA; Caragine C; Daniloski Z; Domingo J; Barry T,10.1126/science.adh7699
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020,32054768,Adipocyte-Induced FABP4 Expression in Ovarian Cancer Cells Promotes Metastasis and Mediates Carboplatin Resistance.,https://pubmed.ncbi.nlm.nih.gov/32054768/,Cancer Res,Mukherjee A; Chiang CY; Daifotis HA; Nieman KM; Fahrmann JF,10.1158/0008-5472.CAN-19-1999
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34608238,"Comparative genome-wide analysis of WRKY, MADS-box and MYB transcription factor families in Arabidopsis and rice.",https://pubmed.ncbi.nlm.nih.gov/34608238/,Sci Rep,Abdullah-Zawawi MR; Ahmad-Nizammuddin NF; Govender N; Harun S; Mohd-Assaad N,10.1038/s41598-021-99206-y
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40653482,Multi-omics analysis for identifying cell-type-specific and bulk-level druggable targets in Alzheimer's disease.,https://pubmed.ncbi.nlm.nih.gov/40653482/,J Transl Med,Liu S; Cho M; Huang YN; Park T; Chaudhuri S,10.1186/s12967-025-06739-1
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,33382968,Genome-Scale Identification of SARS-CoV-2 and Pan-coronavirus Host Factor Networks.,https://pubmed.ncbi.nlm.nih.gov/33382968/,Cell,Schneider WM; Luna JM; Hoffmann HH; Sánchez-Rivera FJ; Leal AA,10.1016/j.cell.2020.12.006
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39468045,Integrative 3D genomics with multi-omics analysis and functional validation of genetic regulatory mechanisms of abdominal fat deposition in chickens.,https://pubmed.ncbi.nlm.nih.gov/39468045/,Nat Commun,Shen L; Bai X; Zhao L; Zhou J; Chang C,10.1038/s41467-024-53692-6
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39617755,Ultrasound Control of Genomic Regulatory Toolboxes for Cancer Immunotherapy.,https://pubmed.ncbi.nlm.nih.gov/39617755/,Nat Commun,Wu Y; Huang Z; Liu Y; He P; Wang Y,10.1038/s41467-024-54477-7
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2021,34083435,A catalog of tens of thousands of viruses from human metagenomes reveals hidden associations with chronic diseases.,https://pubmed.ncbi.nlm.nih.gov/34083435/,Proc Natl Acad Sci U S A,Tisza MJ; Buck CB,10.1073/pnas.2023202118
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2024,39000456,Functional Genomics in Psoriasis.,https://pubmed.ncbi.nlm.nih.gov/39000456/,Int J Mol Sci,Rossi S; Richards EL; Orozco G; Eyre S,10.3390/ijms25137349
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,40506539,Linking regulatory variants to target genes by integrating single-cell multiome methods and genomic distance.,https://pubmed.ncbi.nlm.nih.gov/40506539/,Nat Genet,Dorans E; Jagadeesh K; Dey K; Price AL,10.1038/s41588-025-02220-3
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2023,37237081,Genome-scale functional genomics identify genes preferentially essential for multiple myeloma cells compared to other neoplasias.,https://pubmed.ncbi.nlm.nih.gov/37237081/,Nat Cancer,de Matos Simoes R; Shirasaki R; Downey-Kopyscinski SL; Matthews GM; Barwick BG,10.1038/s43018-023-00550-x
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2025,41231980,Metagenomic editing of commensal bacteria in vivo using CRISPR-associated transposases.,https://pubmed.ncbi.nlm.nih.gov/41231980/,Science,Gelsinger DR; Ronda C; Ma J; Kar OB; Edwards M,10.1126/science.adx7604
