Query,Interest,Year,ID,Title,Link,Status,Phase,Conditions
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05142241,"Testing the Combination of Anti-Cancer Drugs Talazoparib and Temozolomide in Patients With Advanced Stage Rare Cancers, RARE 2 Trial",https://clinicaltrials.gov/study/NCT05142241,ACTIVE_NOT_RECRUITING,PHASE2,Adrenal Gland Pheochromocytoma; Hematopoietic and Lymphatic System Neoplasm; Malignant Solid Neoplasm; Paraganglioma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04746794,Early Detection of GEnetic Risk (EDGE),https://clinicaltrials.gov/study/NCT04746794,COMPLETED,NA,Genetic Predisposition
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT00221702,PegIntron Versus IntronA in CMAJCC Stage II (EADO 2001/CMII Trial),https://clinicaltrials.gov/study/NCT00221702,COMPLETED,PHASE3,Melanoma; Neoplasm Metastasis
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT07147101,Different First-line Immunotherapy for Advancer Hepatocellular Carcinoma: A Prospective Observational Study on Efficacy and Immune Microenvironment,https://clinicaltrials.gov/study/NCT07147101,RECRUITING,,Advanced Hepatocellular Carcinoma (HCC)
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06437119,The Antagonistic Effect of Composite Polyphenols on Health Damage Caused by Environmental Pollutants,https://clinicaltrials.gov/study/NCT06437119,COMPLETED,NA,Intestinal Functional Disorder; Inflammation
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05906407,COGNITION: Genomics-Guided Precision Oncology in Early High-Risk Breast Cancer,https://clinicaltrials.gov/study/NCT05906407,RECRUITING,,Early-Stage Breast Cancer; Neoadjuvant Therapy
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04145141,National Translational Science Network of Precision-based Immunotherapy for Primary Liver Cancer,https://clinicaltrials.gov/study/NCT04145141,ACTIVE_NOT_RECRUITING,,Hepatocellular Carcinoma; Liver Cancer; Cholangiocarcinoma
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT02554539,Transciptomic Modification Induced by miRNAs in Endometrial Fluid,https://clinicaltrials.gov/study/NCT02554539,COMPLETED,NA,MicroRNA in Endometrial Fluid
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT06549712,The Fondazione Genomic SARS-CoV-2 Study COVID-19,https://clinicaltrials.gov/study/NCT06549712,COMPLETED,NA,COVID-19; Genetic Predisposition
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT05343312,"In Vivo Efficacy of Artemether-Lumefantrine, Amodiaquine-Artesunate, Dihydroartemisinin-Piperaquine, and Pironaridine-Artesunate in Mozambique",https://clinicaltrials.gov/study/NCT05343312,COMPLETED,PHASE4,Malaria
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,NCT04278300,Study of the Discriminating Power of a Blood Biomarker for Omega-3 Polyunsaturated Fatty Acid Content of the Retina for Age-related Macular Degeneration (AMD),https://clinicaltrials.gov/study/NCT04278300,COMPLETED,,Age-related Macular Degeneration
